YEAR;WUE;ID;Psummer;Tsummer;BAI
1912;55.55936412;6;55.76666896;46.00000191;620.0240835
1913;61.59472892;6;45.63333321;30.90000025;596.2172629
1914;58.16022493;6;75.20000331;46.66666857;680.2678766
1915;57.7864807;6;31.89999994;17.60000038;667.8828894
1916;60.17865244;6;41.43333403;29.43333371;782.4296856
1917;69.51974237;6;50.5333341;29.30000083;603.1118707
1918;73.21105241;6;31.96666749;18.30000019;532.1612431
1919;67.96868708;6;24.83333333;20.4333334;622.2685007
1920;68.76126437;6;30.13333321;20.83333333;870.4161454
1921;72.35096831;6;46.40000089;32.73333391;787.3053117
1922;70.5613151;6;47.56666724;28.16666667;500.5344126
1923;74.62079402;6;43.23333581;43.56666915;681.7015807
1924;118.6696819;6;24.0333341;17.90000025;519.0624932
1925;71.30602446;6;62.70000076;47.00000095;538.0821814
1926;72.57573391;6;29.73333391;20.36666743;545.1113526
1927;66.88238686;6;64.40000153;46.76666673;341.3562722
1928;75.78477774;6;32.60000102;24.73333359;508.1891047
1929;69.30909665;6;49.93333499;29.36666679;547.8067503
1930;67.4828974;6;69.53333473;49.766668;814.640371
1931;67.38001983;6;60.3666687;46.50000127;806.4505956
1932;61.84088777;6;99.80000051;66.86666775;888.2845219
1933;62.99587573;6;60.63333511;35.40000089;787.6808004
1934;67.70237167;6;61.73333359;47.76666737;895.2592356
1935;68.24902728;6;69.70000203;54.23333454;720.2835706
1936;63.29776886;6;46.7000014;26.79999987;806.3891598
1937;68.19898239;6;57.43333403;22.16666698;849.9934939
1938;72.46224949;6;32.06666756;25.90000025;575.2954621
1939;68.51151161;6;64.46666972;41.6333348;1088.774752
1940;72.97332261;6;68.63333511;44.03333378;1167.089683
1941;66.68733829;6;79.50000254;57.96666781;817.1125898
1942;65.7386321;6;69.96666718;54.33333333;647.3283186
1943;69.56801258;6;42.89999962;39.53333346;723.0010785
1944;65.74034125;6;57.4000028;47.93333562;689.0082352
1945;70.32345907;6;69.73333486;62.06666819;184.6433169
1946;70.88562724;6;39.43333467;30.70000108;604.3246178
1947;69.42250005;6;46.63333448;32.00000127;525.3193778
1948;71.06717423;6;43.60000038;41.36666711;800.4559143
1949;69.37769125;6;38.76666705;29.70000076;857.4955459
1950;65.40866112;6;50.16666667;33.16666667;830.9626571
1951;66.46327149;6;68.73333486;46.36666775;982.1371402
1952;64.51871417;6;79.13333511;65.7000014;1333.174481
1953;67.46159579;6;56.43333371;19.46666718;1239.499326
1954;70.67557613;6;65.66666857;50.16666826;1028.955814
1955;79.46068907;6;55.3333346;38.43333371;741.7764192
1956;66.75982981;6;49.43333499;43.70000172;971.1785156
1957;69.34247808;6;49.19999949;18.66666667;1017.43631
1958;71.59089764;6;60.26666959;40.23333486;979.3344473
1959;69.39954166;6;77.86666743;55.96666749;1057.250322
1960;72.29745213;6;49.26666768;37.76666768;1144.871844
1961;66.1653929;6;48.93333371;34.13333321;1300.769679
1962;78.28226105;6;18.10000038;15.5;812.1708098
1963;66.22337518;6;72.63333511;47.13333352;808.6728901
1964;70.6533438;6;34.73333422;26.33333365;1317.241784
1965;76.27225952;6;36.23333422;32.90000057;780.5558106
1966;74.95454301;6;46.83333333;20.46666718;916.0656174
1967;73.47481853;6;43.60000102;35.46666686;890.6605909
1968;75.32347234;6;41.80000114;38.93333435;689.1764482
1969;73.06017149;6;41.53333346;23.26666737;860.1333218
1970;77.86886902;6;51.53333346;40.26666673;1104.087333
1971;73.04722205;6;83.86666997;54.96666845;1368.178782
1972;68.24951036;6;64.76666896;46.20000172;957.0385705
1973;74.61128225;6;68.4000028;48.63333511;1248.140034
1974;74.12135894;6;52.93333435;37.00000095;730.1978153
1975;70.99856625;6;42.86666791;31.06666835;787.2056844
1976;70.63252576;6;77.73333359;75.63333321;967.4692012
1977;72.98334833;6;115.3333359;69.6666673;1268.396232
1978;76.97428451;6;48.90000089;25.16666698;1479.809731
1979;70.65708114;6;50.10000102;43.30000019;667.078567
1980;79.24098247;6;50.06666692;37.63333321;740.9475247
1981;70.49131469;6;57.00000127;51.76666768;630.6804198
1982;78.55053685;6;39.43333308;31.83333333;845.7211713
1983;72.04957396;6;114.8000043;104.8666712;972.1585317
1984;88.4485787;6;45.66666762;27.83333397;795.1996752
1985;78.75611742;6;35.73333295;29.26666673;719.2578995
1986;80.39493503;6;22.30000035;18.66666714;509.2576324
1987;77.73618862;6;58.00000254;34.50000095;895.0982706
1988;75.97280479;6;73.00000127;42.20000172;1486.900668
1989;83.12450409;6;38.26666705;37.23333359;1252.496557
1990;82.75729601;6;47.36666679;29.46666749;1185.141435
1991;80.53675433;6;18.56666724;16.1000007;1155.258928
1992;76.20749223;6;102.2666696;55.66666667;1049.916769
1993;76.93109379;6;75.23333486;57.13333352;1319.411041
1994;86.39728608;6;38.56666819;31.30000114;1127.312018
1995;77.1770962;6;41.30000178;30.26666768;615.3285819
1996;69.48570562;6;63.73333613;56.03333537;682.696419
1997;67.21705526;6;122.9333344;97.26666737;770.7356041
1998;73.57052209;6;43.43333371;33.63333416;1742.616229
1999;76.63428081;6;56.46666781;51.70000108;655.3624435
2000;87.49754728;6;41.76666768;38.90000089;1012.461772
2001;78.17869056;6;53.13333448;52.53333473;808.288789
